def_instance,state,location,control,no_of_students_thous,male,female,student,academic,sat_verbal,set_math,expenses_thous,percent_financial_aid,no_of_applicants_thous,percent_admittance,percent_enrolled,academics_scale,social_scale,quality_of_life_scale
carnegie-mellon,pennsylvania,urban,private,5,0.6,0.4,0.9090909090909091,0.09090909090909091,600,650,0,70,0,40,50,4,3,3
case-western,ohio,urban,private,5,0.7,0.3,0.9,0.1,550,650,0,65,0,85,35,3,2,3
ccny,newyork,urban,city,12.5,0.6,0.4,0.9375,0.0625,550,650,4,80,0,80,60,3,2,2
colgate,newyork,small-town,private,5,0.55,0.45,0.9285714285714286,0.07142857142857142,550,650,0,60,0,40,40,4,3,3
columbia,newyork,urban,private,5,0.7,0.3,0.9,0.1,625,650,0,60,0,30,50,5,3,3
cooper-union,newyork,urban,private,5,0.7,0.3,0.8571428571428571,0.14285714285714285,625,650,4,35,0,20,65,3,1,3
cornell,newyork,small-city,private,12.5,0.55,0.45,0.875,0.125,600,650,0,50,0,30,50,5,3,2
dartmouth,newhampshire,small-town,private,5,0.6,0.4,0.875,0.125,625,650,0,40,0,20,60,5,5,3
florida-tech,florida,small-city,private,5,0.8,0.2,0.9523809523809523,0.047619047619047616,500,550,5.5,60,0,60,50,3,3,3
florida-state,florida,small-city,state,17.5,0.45,0.55,0.9523809523809523,0.047619047619047616,500,525,5.5,40,0,60,50,3,3,3
georgia-tech,georgia,urban,state,7.5,0.8,0.2,0.9523809523809523,0.047619047619047616,525,625,5.5,20,0,60,50,4,2,2
harvard,massachusetts,urban,private,7.5,0.65,0.35,0.9090909090909091,0.09090909090909091,700,675,0,60,0,20,80,5,3,4
hofstra,newyork,suburban,private,7.5,0.5,0.5,0.9090909090909091,0.09090909090909091,500,525,8.5,80,0,70,50,2,2,2
illinois-tech,illinois,urban,state,5,0.9,0.1,0.9615384615384616,0.038461538461538464,450,575,5.5,65,0,50,60,3,1,3
johns-hopkins,maryland,urban,private,5,0.7,0.3,0.9090909090909091,0.09090909090909091,625,675,0,70,0,50,40,5,3,3
mit,massachusetts,urban,private,5,0.75,0.25,0.8333333333333334,0.16666666666666666,650,750,0,50,0,30,60,5,3,3
university-of-montana,montana,small-city,state,5,0.65,0.35,0.9545454545454546,0.045454545454545456,650,750,5.5,65,0,90,60,3,2,4
morgan-state,maryland,urban,state,5,0.4,0.6,0.9285714285714286,0.07142857142857142,300,325,4,65,0,70,50,2,2,2
newjersey-tech,newjersey,urban,state,5,0.9,0.1,0.9615384615384616,0.038461538461538464,450,575,5.5,65,0,50,60,3,1,3
nyu,newyork,urban,private,7.5,0.5,0.5,0.875,0.125,550,575,0,50,0,50,60,4,3,3
pratt,newyork,urban,private,5,0.6,0.4,0.875,0.125,425,475,5.5,80,0,50,60,3,1,2
princeton,newjersey,small-town,private,5,0.65,0.35,0.875,0.125,650,675,0,50,0,20,60,5,3,3
rensselaer,newyork,small-city,private,5,0.8,0.2,0.9166666666666666,0.08333333333333333,575,700,0,60,0,50,30,4,3,3
rochester-tech,newyork,suburban,private,7.5,0.65,0.35,0.9333333333333333,0.06666666666666667,525,575,8.5,60,0,70,50,3,3,3
stanford,california,suburban,private,7.5,0.55,0.45,0.9090909090909091,0.09090909090909091,625,675,0,45,0,20,70,5,4,5
stevens,newjersey,urban,private,5,0.8,0.2,0.9285714285714286,0.07142857142857142,500,625,8.5,65,0,60,40,3,2,4
temple,pennsylvania,urban,state,17.5,0.5,0.5,0.9166666666666666,0.08333333333333333,475,500,5.5,60,0,70,60,2,2,2
texas-a&m,texas,small-city,state,0,0.6,0.4,0.9230769230769231,0.07692307692307693,475,550,4,20,0,80,70,3,3,3
university-of-california-berkeley,california,urban,state,0,0.55,0.45,0.9166666666666666,0.08333333333333333,530,600,5.5,20,0,50,70,5,3,3
university-of-california-davis,california,small-city,state,12.5,0.5,0.5,0.9375,0.0625,500,550,5.5,40,0,70,70,4,3,4
ucla,california,urban,state,0,0.5,0.5,0.9166666666666666,0.08333333333333333,500,550,5.5,50,0,80,70,4,3,3
university-of-california-san-diego,california,suburban,state,7.5,0.55,0.45,0.9375,0.0625,550,600,5.5,25,0,80,65,4,4,4
university-of-california-santa-cruz,california,suburban,state,7.5,0.5,0.5,0.9473684210526315,0.05263157894736842,525,550,5.5,65,0,70,60,4,3,5
university-of-maine,maine,small-town,state,12.5,0.55,0.45,0.9375,0.0625,500,500,5.5,70,0,90,50,2,4,3
university-of-oklahoma,oklahoma,suburban,state,12.5,0.6,0.4,0.9523809523809523,0.047619047619047616,500,500,4,30,0,90,70,3,3,3
university-of-pennsylvania,pennsylvania,urban,private,7.5,0.6,0.4,0.9090909090909091,0.09090909090909091,600,650,0,60,0,40,50,5,4,3
university-of-san-francisco,california,urban,private,5,0.5,0.5,0.9285714285714286,0.07142857142857142,450,525,8.5,70,0,60,60,3,3,4
usc,california,urban,private,12.5,0.6,0.4,0.9473684210526315,0.05263157894736842,475,525,0,60,0,70,50,4,4,3
worcester,massachusetts,urban,private,5,0.8,0.2,0.9230769230769231,0.07692307692307693,550,650,0,70,0,50,50,4,3,4
yale,connecticut,small-city,private,5,0.55,0.45,0.8333333333333334,0.16666666666666666,675,675,0,40,0,20,60,5,3,4
penn-state,pennsylvania,urban,state,0,0.6,0.4,0.43478260869565216,0.5652173913043478,620,680,0,60,0,40,50,5,4,4
university-of-pittsburgh,pennsylvania,urban,state,0,0.5,0.5,0.9090909090909091,0.09090909090909091,480,530,5.5,60,0,75,55,4,4,5
university-of-michigan,michigan,suburban,state,0,0.5555555555555556,0.4444444444444444,0.9375,0.0625,540,600,5.5,60,0,60,50,4,2,3
northeastern,massachusetts,urban,private,0,0.6666666666666666,0.3333333333333333,0.9565217391304348,0.043478260869565216,0,0,5.5,55,0,80,100,3,2,3
rice,texas,suburban,private,5,0.6666666666666666,0.3333333333333333,0.9,0.1,621,671,5.5,80,0,35,55,5,2,3
notre-dame,indiana,urban,private,17.5,0.7142857142857143,0.2857142857142857,0.9230769230769231,0.07692307692307693,570,640,5.5,50,0,35,60,5,3,3
newengland-college,newhampshire,small-town,private,12.5,0.9803921568627451,0.0196078431372549,0.9285714285714286,0.07142857142857142,590,590,0,40,0,50,95,4,3,4
suny-stony-brook,newyork,small-town,state,0,0.5,0.5,0.9285714285714286,0.07142857142857142,0,0,5.5,15,0,50,90,5,4,4
suffolk-community-college,newyork,small-town,state,12.5,0.009900990099009901,0.9900990099009901,0.9615384615384616,0.038461538461538464,500,500,5.5,15,0,80,95,4,3,4
clark-university,massachusetts,small-city,private,5,0.5,0.5,0.9285714285714286,0.07142857142857142,550,576,0,50,0,60,35,4,3,3
university-of-hartford,connecticut,suburban,private,7.5,0.45,0.55,0.9285714285714286,0.07142857142857142,445,491,0,40,0,75,35,3,3,3
lewis-and-clark,oregon,small-city,private,5,0.5,0.5,0.9285714285714286,0.07142857142857142,530,550,8.5,40,0,70,40,3,2,4
bennington,vermont,suburban,private,5,0.3,0.7,0.9,0.1,530,550,8.5,40,0,70,30,3,3,4
rice,texas,suburban,private,5,0.7,0.3,0.9,0.1,650,650,5.5,70,0,40,30,5,4,4
smith,massachusetts,suburban,private,5,0.009900990099009901,0.9900990099009901,0.9090909090909091,0.09090909090909091,610,600,8.5,30,0,50,20,4,3,4
university-of-the-south,tennessee,suburban,private,5,0.6,0.4,0.9090909090909091,0.09090909090909091,550,600,5.5,50,0,60,30,4,3,4
polytechnic-institute-of-newyork,newyork,urban,private,5,0.87,0.13,0.8888888888888888,0.1111111111111111,600,600,0,80,0,75,45,3,2,2
tufts,massachusetts,suburban,private,7.5,0.5,0.5,0.9333333333333333,0.06666666666666667,600,600,0,45,0,35,35,4,3,3
university-of-virginia,virginia,small-city,state,12.5,0.5,0.5,0.9090909090909091,0.09090909090909091,585,625,5.5,30,0,40,20,4,4,4
washington-and-lee,virginia,small-town,private,5,1.0,0.0,0.9090909090909091,0.09090909090909091,550,595,8.5,30,0,60,30,4,3,3
university-of-rochester,newyork,urban,private,7.5,0.6,0.4,0.9090909090909091,0.09090909090909091,550,550,0,70,0,80,30,4,3,3
sam-houston-state-university,texas,suburban,state,12.5,0.5,0.5,0.967741935483871,0.03225806451612903,400,400,5.5,30,0,80,70,2,2,2
manhattanville-college,newyork,suburban,private,5,0.3,0.7,0.9166666666666666,0.08333333333333333,500,530,0,60,0,60,40,4,3,4
suny-purchase,newyork,suburban,state,5,0.35,0.65,0.9444444444444444,0.05555555555555555,525,525,5.5,5,0,40,40,3,3,3
brandeis,massachusetts,suburban,private,5,0.48,0.52,0.9090909090909091,0.09090909090909091,580,630,0,40,0,60,45,4,3,4
george-washington,district-of-columbia,urban,private,5,0.5,0.5,0.9333333333333333,0.06666666666666667,530,560,0,45,0,75,30,3,4,3
oral-roberts-university,oklahoma,suburban,private,5,0.5,0.5,0.9166666666666666,0.08333333333333333,463,490,4,70,0,65,75,4,2,3
university-of-tulsa,oklahoma,urban,private,7.5,0.6,0.4,0.9411764705882353,0.058823529411764705,471,520,4,75,0,85,65,4,4,4
connecticut-college,connecticut,small-city,private,5,0.35,0.65,0.9090909090909091,0.09090909090909091,550,575,0,30,0,40,40,4,3,4
lehigh-university,pennsylvania,small-city,private,7.5,0.75,0.25,0.9090909090909091,0.09090909090909091,550,650,8.5,45,0,50,40,4,4,2
oregon-state,oregon,suburban,state,17.5,0.5714285714285714,0.42857142857142855,0.9444444444444444,0.05555555555555555,0,0,5.5,65,0,90,70,3,4,2
oregon-state,oregon,suburban,state,17.5,0.5714285714285714,0.42857142857142855,0.9444444444444444,0.05555555555555555,0,0,5.5,65,0,90,70,3,4,2
